Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Barbeque,2oz,898,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Barbeque,2oz,963,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Barbeque,2oz,1136,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Barbeque,2oz,982,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Barbeque,2oz,1398,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Barbeque,2oz,1577,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Barbeque,2oz,1189,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Barbeque,2oz,989,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Barbeque,2oz,1486,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Barbeque,2oz,1052,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Barbeque,2oz,544,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Barbeque,2oz,885,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Barbeque,2oz,1108,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Barbeque,2oz,761,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Barbeque,2oz,1125,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Barbeque,2oz,805,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Barbeque,2oz,820,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Barbeque,2oz,1700,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Barbeque,2oz,1029,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Barbeque,2oz,1335,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Barbeque,2oz,1042,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Barbeque,2oz,861,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Barbeque,2oz,506,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Barbeque,2oz,908,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Barbeque,2oz,833,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Barbeque,2oz,1043,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Barbeque,2oz,1352,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Barbeque,2oz,1321,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Barbeque,2oz,1036,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Barbeque,2oz,1190,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Barbeque,2oz,1106,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Barbeque,2oz,1371,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Barbeque,2oz,900,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Barbeque,2oz,1100,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Barbeque,2oz,939,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Barbeque,2oz,638,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Barbeque,2oz,1115,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Barbeque,2oz,1338,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Barbeque,2oz,1328,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Barbeque,2oz,1196,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Barbeque,2oz,1727,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Barbeque,2oz,1138,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Barbeque,2oz,1369,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Barbeque,2oz,1054,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Barbeque,2oz,1686,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Barbeque,2oz,1135,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Barbeque,2oz,600,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Barbeque,6oz,455,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Barbeque,6oz,324,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Barbeque,6oz,376,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Barbeque,6oz,334,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Barbeque,6oz,445,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Barbeque,6oz,285,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Barbeque,6oz,309,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Barbeque,6oz,312,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Barbeque,6oz,332,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Barbeque,6oz,391,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Barbeque,6oz,213,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Barbeque,6oz,306,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Barbeque,6oz,405,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Barbeque,6oz,397,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Barbeque,6oz,416,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Barbeque,6oz,389,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Barbeque,6oz,375,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Barbeque,6oz,260,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Barbeque,6oz,444,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Barbeque,6oz,337,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Barbeque,6oz,142,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Barbeque,6oz,250,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Barbeque,6oz,468,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Barbeque,6oz,288,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Barbeque,6oz,528,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Barbeque,6oz,185,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Barbeque,6oz,439,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Barbeque,6oz,804,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Barbeque,6oz,229,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Barbeque,6oz,296,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Barbeque,6oz,479,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Barbeque,6oz,224,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Barbeque,6oz,279,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Barbeque,6oz,486,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Barbeque,6oz,251,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Barbeque,6oz,366,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Barbeque,6oz,949,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Barbeque,6oz,567,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Barbeque,6oz,601,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Barbeque,6oz,639,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Barbeque,6oz,351,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Barbeque,6oz,385,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Barbeque,6oz,303,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Barbeque,6oz,310,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Barbeque,6oz,437,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Barbeque,6oz,325,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Barbeque,6oz,288,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Barbeque,6oz,453,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Barbeque,6oz,670,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Barbeque,6oz,428,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Barbeque,6oz,455,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Barbeque,6oz,442,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Barbeque,6oz,853,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Barbeque,6oz,708,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Barbeque,6oz,1450,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Barbeque,6oz,412,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Barbeque,6oz,412,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Dill Pickle,2oz,468,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Dill Pickle,2oz,903,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Dill Pickle,2oz,748,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Dill Pickle,2oz,692,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Dill Pickle,2oz,844,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Dill Pickle,2oz,617,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Dill Pickle,2oz,791,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Dill Pickle,2oz,641,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Dill Pickle,2oz,566,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Dill Pickle,2oz,519,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Dill Pickle,2oz,611,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Dill Pickle,2oz,756,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Dill Pickle,2oz,732,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Dill Pickle,2oz,790,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Dill Pickle,2oz,855,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Dill Pickle,2oz,974,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Dill Pickle,2oz,769,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Dill Pickle,2oz,559,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Dill Pickle,2oz,1001,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Dill Pickle,2oz,655,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Dill Pickle,2oz,467,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Dill Pickle,2oz,609,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Dill Pickle,2oz,675,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Dill Pickle,2oz,440,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Dill Pickle,2oz,662,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Dill Pickle,2oz,618,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Dill Pickle,2oz,593,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Dill Pickle,2oz,1173,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Dill Pickle,2oz,597,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Dill Pickle,2oz,1061,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Dill Pickle,2oz,789,,,,,,,,,,,,,,,,,,,,,,,,,
